frame,theta_cyl_deg,needle_x_mm,needle_y_mm,needle_z_mm,yarn_owner_deg,yarn_state,yarn_x_mm,yarn_y_mm,yarn_z_mm,angular_dist_to_owner_deg,capture_margin_mm,capture_offset_xy_mm,capture_3d_distance_mm,in_capture_window
60,300.00,28.075,-48.627,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,120.00,+15.000,136.996,137.814,0
61,305.00,32.206,-45.995,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,125.00,+15.000,139.979,140.780,0
62,310.00,36.093,-43.013,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,130.00,+15.000,142.728,143.514,0
63,315.00,39.704,-39.704,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,135.00,+15.000,145.236,146.009,0
64,320.00,43.013,-36.093,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,140.00,+15.000,147.497,148.258,0
65,325.00,45.995,-32.206,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,145.00,+15.000,149.506,150.256,0
66,330.00,48.627,-28.075,256.000,180.0,idle_at_feeder,-100.000,0.000,271.000,150.00,+15.000,151.256,151.998,0
67,335.00,50.889,-23.730,256.536,180.0,idle_at_feeder,-100.000,0.000,271.000,155.00,+14.464,152.744,153.427,0
68,340.00,52.764,-19.204,258.000,180.0,idle_at_feeder,-100.000,0.000,271.000,160.00,+13.000,153.966,154.514,0
69,345.00,54.237,-14.533,260.000,15.0,captured,54.237,14.533,260.000,30.00,+0.000,29.065,29.065,1
70,350.00,55.297,-9.750,262.000,15.0,captured,54.237,14.533,260.000,25.00,-2.000,24.306,24.388,1
71,355.00,55.936,-4.894,263.464,15.0,captured,54.237,14.533,260.000,20.00,-3.464,19.501,19.806,1
